user_id,block_average_correctness,reverse_tap_average_correctness,reverse_translate_average_correctness,listen_average_correctness,block_average_response_time,reverse_tap_average_response_time,reverse_translate_average_response_time,listen_average_response_time,user_ability_score,average_blocks_per_session,average_blocks_per_day,average_sessions_per_day,session_length_variance,blocks_per_session_variance,blocks_per_day_variance,sessions_per_day_variance,response_time_variance,churn_time,churn_time_category
++j955YG,0.1622964068133781,0.04484304932735426,0.1588785046728972,0.30132450331125826,0.004130652754768547,0.002708918255410129,0.001749270030398011,0.006542114655443403,0.5818323154333164,0.030361513972408917,0.03663204370751541,0.07142857142857142,0.32607960857964086,0.29737386007916067,0.46788331312383263,0.10996562651998316,0.43091982263235723,20.0,3
+/iDvu/I,0.06245791245791246,0.03502626970227671,0.08662900188323917,0.08227848101265822,0.004225006926908572,0.00428369461875082,0.0021680417946486528,0.007269111228839009,0.5271950256845398,0.059214715245843666,0.12821612349914235,0.15873015873015872,0.5036990135751997,0.4875367576166564,0.6754541245419005,0.21096503793422405,0.34646885673600875,12.0,2
+0UEF02n,0.061580086580086575,0.05357142857142857,0.053156146179401995,0.049019607843137254,0.00637463837809127,0.006309552526836328,0.0021485961041914107,0.007605283143808704,0.5191343672663112,0.04092677750265299,0.18796455117209834,0.42857142857142855,0.4601680298883319,0.4301269728552457,0.6062222864657238,1.0,0.47669296378765436,1.0,1
+197nchq,0.06860916860916862,0.03524804177545692,0.1554054054054054,0.10377358490566038,0.010773308672014321,0.017673194974071414,0.004184790024451759,0.009969284505265106,0.525043549342589,0.039319604435490076,0.037099771297884505,0.05000000000000002,0.4317493268335803,0.3827953881787035,0.47728286102882955,0.07291264747376881,0.5212258902815574,21.0,3
+7lbKZrn,0.19775054005823237,0.04291845493562232,0.27155963302752295,0.3501199040767386,0.026050093266143125,0.004365119010582342,0.013962162015890513,0.009200784028976446,0.5875491416639738,0.03460912628227803,0.04441313403577555,0.06122448979591838,0.3669775837285149,0.3713021034316639,0.5161321197840042,0.10371471499729779,0.9285254439700297,22.0,3
+8PaB0az,0.08862179487179488,0.02631578947368421,0.14341846758349705,0.08208955223880597,0.052704928947728484,0.004195591114825033,0.008922898595130877,0.06424608242956971,0.5074993201603615,0.019401715121559485,0.041611079346928405,0.15873015873015872,0.32682884316593747,0.31383791743783185,0.5173456765331316,0.201593440718185,0.9454939415189167,20.0,3
+8QzfF9x,0.10252293577981653,0.0,0.058011049723756904,0.6078431372549019,0.01490977521532108,0.0,0.0026577152664803505,0.03723137189625204,0.5346356396048532,0.020021223912274497,0.028182771107299415,0.08333333333333331,0.3948058896692312,0.3434223608916206,0.546926160612835,0.12548112155642463,0.8335240661547327,20.0,3
+9yFrrMC,0.09244444444444445,0.03696098562628337,0.13829787234042554,0.14942528735632185,0.003882080186122171,0.006169377398168321,0.0016930208705376766,0.006994214082707774,0.5400596293478778,0.10439132851584214,0.11463693539165237,0.047619047619047616,0.5539336329837332,0.5089864300851428,0.5906982301397423,0.08028313024546062,0.2461250054438909,6.0,1
+BYeJSAV,0.15511463844797177,0.049019607843137254,0.2300469483568075,0.2366412213740458,0.052487509093155436,0.007222395652266456,0.012977481060530437,0.05910493941957273,0.5408552399528632,0.011267129081373712,0.01092588622069754,0.0625,0.20435752998491347,0.1699477658138528,0.33838552024318563,0.11326151122258453,0.9248865250149046,18.0,3
+D4q69oI,0.2452060644885757,0.0,0.1490280777537797,0.4224137931034483,0.02461976731052056,0.0,0.005551178168046978,0.015387275317803897,0.6132179042199701,0.055787446448925054,0.06536388140161725,0.08163265306122447,0.6150314095874063,0.5551459657786365,0.5954970479465446,0.16364342759419145,0.8718440694939019,10.0,2
+DfQcClC,0.26073093573093575,0.099644128113879,0.25791324736225085,0.36666666666666664,0.00624778076440197,0.005511013743410833,0.00231084376115567,0.007103381220337886,0.63131059190296,0.12897064025468696,0.28953687821612356,0.17142857142857143,0.6674389930143794,0.6517407751725068,0.7706051674118081,0.33733141696537017,0.5955282980000544,5.0,1
+Gm+Ygql,0.08867339430253338,0.034482758620689655,0.11815561959654179,0.08636363636363636,0.004400800439535385,0.002704636103128028,0.00169281653002588,0.006960177439013066,0.5409703781788933,0.11095861337106473,0.22489994282447112,0.14285714285714285,0.5635084712671623,0.5605279850206686,0.7252345122726517,0.1377053866549987,0.45234667812227347,4.0,1
+Idlv0Mx,0.07810283687943262,0.017391304347826087,0.1377049180327869,0.0,0.005911721232139256,0.005725380585548499,0.0026822091589573708,0.00802052626390011,0.5355505233974226,0.02805365840385296,0.14903754526396035,0.4761904761904761,0.47644247113509813,0.4475213176526698,0.5161611705783281,0.6766756515545979,0.4983178380707844,2.0,1
+JslKM5V,0.07856412503651768,0.027777777777777776,0.08909574468085106,0.07258064516129033,0.0033993025960649993,0.00429883809753548,0.001189996225610688,0.006735262189103761,0.5352915632159332,0.0688490851207512,0.15591766723842196,0.19999999999999996,0.4664831841527047,0.42256990497740654,0.6479982534023302,0.4054838551316929,0.1111111111111111,4.0,1
+KWsJLIS,0.08808510638297871,0.045454545454545456,0.26153846153846155,0.12777777777777777,0.0028283974479544945,0.006218681812699422,0.0013850951475735084,0.00663192337074776,0.5392358855419385,0.1155288291475062,0.13840051457975985,0.0357142857142857,0.5678418604849909,0.5499699687941098,0.4927022579591255,0.07578474299962598,0.05305173668588301,7.0,1
+LSV1D/3,0.08948277723787929,0.03,0.1343804537521815,0.09771986970684039,0.006148458798846802,0.005710348570739356,0.002125090573597184,0.010295575410123985,0.53939570964564,0.028694729395118503,0.041881074899942826,0.09022556390977443,0.3396673314964241,0.3173315793159136,0.5320016373535237,0.10361016727540247,0.6892305611544991,19.0,3
+MjNl5F1,0.226385574118271,0.022556390977443608,0.19117647058823528,0.5451612903225806,0.006897351932066207,0.004924807495762685,0.002938861309994149,0.007723734817045807,0.6134024132755825,0.038150751295735225,0.060126194560156825,0.12244897959183676,0.4698458523548295,0.4507321411287937,0.5514026722369643,0.12373760137744276,0.6567062255248657,14.0,2
+NWS2Hp6,0.15386904761904763,0.01639344262295082,0.18154761904761904,0.24548736462093862,0.0054545576183332905,0.003940476637713025,0.002147567001491012,0.007749453732768096,0.5765630689748036,0.10746374248319775,0.12224128073184676,0.028571428571428553,0.6769470962899866,0.6891550122646728,0.8007143420353596,0.06192064365537275,0.43975943887230245,4.0,1
+NyI1pa6,0.1402621722846442,0.007751937984496124,0.13924050632911392,0.2830188679245283,0.027835099564680808,0.004512037429210155,0.011834640447471628,0.009650072101467632,0.5438622470300921,0.04899186416696145,0.09969982847341338,0.14285714285714285,0.508828252328188,0.5088039443750002,0.604965215376294,0.373114300021637,0.9058146744971652,4.0,1
+OkvdU0q,0.24441117764471057,0.05397727272727273,0.3448275862068966,0.3592814371257485,0.013110483789313879,0.00868226499709433,0.004812070522008263,0.013325266499480574,0.6126193771984427,0.016385289041815396,0.035538164665523155,0.16964285714285715,0.2242666815327355,0.214918531522875,0.48786328853907335,0.22898052071885538,0.6489644241771566,16.0,3
+OwJPqFw,0.10560763888888888,0.029787234042553193,0.17320261437908496,0.14095744680851063,0.004785722206657078,0.002871301103221386,0.0029683335310435144,0.005772960562790832,0.5533299126810279,0.028279255233623825,0.0440251572327044,0.10714285714285715,0.33549467095643365,0.31273386653484536,0.5563786805480407,0.2591382826810826,0.7947986495208211,25.0,3
+P9M/gIk,0.21899371069182388,0.06870229007633588,0.24770642201834864,0.457286432160804,0.2039774353014436,0.003996516041951127,0.016004268695311467,0.28852648643248896,0.4768587528101361,0.024796604174036084,0.0388198017914999,0.10714285714285715,0.33489009702998557,0.31801018901403566,0.43587458501171406,0.15280223970080983,0.9919099043214146,14.0,2
+QKosX0d,0.08154881190953335,0.04725274725274725,0.18269230769230768,0.11506849315068493,0.003069296628838377,0.006083055769462717,0.002016808175086568,0.005871021063085931,0.5375383736496353,0.05978068623983021,0.09177863541071088,0.09523809523809523,0.4776016729520635,0.4811222814114905,0.6099959409769663,0.12010438754064197,0.19327208001010104,13.0,2
