user_id,block_average_correctness,reverse_tap_average_correctness,reverse_translate_average_correctness,listen_average_correctness,block_average_response_time,reverse_tap_average_response_time,reverse_translate_average_response_time,listen_average_response_time,user_ability_score,average_blocks_per_session,average_blocks_per_day,average_sessions_per_day,session_length_variance,blocks_per_session_variance,blocks_per_day_variance,sessions_per_day_variance,session_count,block_count,listen,reverse_tap,reverse_translate,response_time_variance,churn_time,churn_time_category
+4kwmfjD,0.22767295597484277,0.13385826771653545,0.37894736842105264,0.375,0.0022455734071134374,0.03146634271565311,0.003640657164765576,0.008832025802584608,0.6109416468414464,0.5080275229357797,0.5141562853907135,0.4444444444444444,0.7551474124024545,0.7890548852311567,0.0,0.0,0.020408163265306124,0.06749379652605458,0.04599659284497445,0.07680000000000001,0.04732824427480916,0.1639871382636656,0.0,1
+IUzKF2l,0.3329004329004329,0.2128146453089245,0.5,0.6075949367088608,0.0027692048845288668,0.03327922503435596,0.00332128893219252,0.011008579005011693,0.6461346463709967,0.17775229357798164,0.045300113250283124,0.0,0.32907593751599984,0.35644280711957704,0.44166979039526744,0.0,0.18367346938775508,0.10322580645161289,0.06303236797274277,0.13040000000000002,0.03969465648854962,0.2379421221864952,22.0,4
+Xv/6Nop,0.22971014492753625,0.14016172506738545,0.375,0.3978494623655914,0.005831347148662439,0.04480429978166628,0.004644521901511317,0.015200249608875147,0.6068829760023766,0.3001310615989515,0.13023782559456398,0.13333333333333336,0.5398845727425828,0.6223277911027847,0.7441120769608702,0.22583816587483815,0.10204081632653061,0.10272952853598014,0.06814310051107325,0.1208,0.051908396946564885,0.7845659163987139,5.0,1
+mMyHsNU,0.239135150563722,0.0,0.25030674846625767,0.22589167767503301,0.0044806451055754565,0.0,0.001963523730633084,0.00859954241707721,0.6139778996398882,0.32224770642201833,0.2831257078142695,0.3555555555555555,0.7758837930291381,0.7152458537143891,0.8003087380864532,0.4587263995202655,0.22448979591836732,0.21439205955334986,0.3730834752981261,0.0,0.3526717557251908,0.5369774919614148,6.0,1
+ziSnwWC,0.16984486102133162,0.06578947368421052,0.26640926640926643,0.32894736842105265,0.005607561793148329,0.024308702675931784,0.00623998982130681,0.01085791774806036,0.5905963868024319,0.0696264744429882,0.03652321630804078,0.16666666666666663,0.3205795392057994,0.380484082190328,0.539566998804103,0.2529927506358214,0.3877551020408163,0.09826302729528535,0.06132879045996593,0.08560000000000001,0.11145038167938931,0.49517684887459806,13.0,2
/2kCuNrB,0.07232415902140672,0.05384615384615385,0.10550458715596331,0.06741573033707865,0.004041198810026576,0.04748262471192406,0.0030851500115530125,0.007022441359694025,0.5328675525862959,0.11100917431192661,0.05624764061910154,0.14814814814814814,0.34549867789560207,0.43630051232286066,0.5820009789285647,0.266319563348789,0.26530612244897955,0.0967741935483871,0.06643952299829642,0.08800000000000001,0.09770992366412214,0.13183279742765272,10.0,2
/NGnTnR2,0.10593731163351416,0.036923076923076927,0.16666666666666666,0.14935064935064934,0.009651507479943982,0.022279323255968687,0.01343412237969575,0.007287662634279126,0.548719754677178,0.17844036697247706,0.05653802596044951,0.05128205128205132,0.5758531482570096,0.5850906416135351,0.626150513152045,0.06758034484377362,0.26530612244897955,0.14540942928039702,0.10221465076660988,0.1184,0.15725190839694655,0.8713826366559485,15.0,3
/TLPIa66,0.13508476689104962,0.0,0.14136125654450263,0.1111111111111111,0.003955149089229532,0.0,0.0022703757700227663,0.007879966512585468,0.5601720543108457,0.09243119266055044,0.023869675058803032,0.06837606837606836,0.2519386130599204,0.23033063489985534,0.4787083579843774,0.0797787634613045,0.26530612244897955,0.08337468982630272,0.12265758091993186,0.0,0.17404580152671753,0.1414790996784566,16.0,3
/pH2wa8f,0.22413710450623203,0.08928571428571429,0.23105360443622922,0.23741007194244604,0.005301372339824429,0.027638294446503925,0.004001304196579011,0.01088087831346738,0.5958512658454853,0.26857798165137614,0.2270668176670442,0.33333333333333337,0.6537032677568532,0.7068169587201931,0.7502127477733332,0.11053260558131499,0.16326530612244897,0.13647642679900743,0.09540034071550256,0.057600000000000005,0.25190839694656486,0.5627009646302251,3.0,1
04woGTky,0.28873873873873873,0.25,0.21348314606741572,0.3443708609271523,0.006034799526752689,0.018434968939215222,0.003483553255274587,0.00960396708520103,0.6301439162876015,0.3428899082568807,0.16251415628539073,0.1111111111111111,0.8690848488735478,0.8735131251415928,0.8526860354858058,0.155786957767474,0.020408163265306124,0.04367245657568238,0.08347529812606473,0.0024000000000000002,0.08244274809160305,0.26366559485530544,0.0,1
